endBus,lowPlate,plateNo,plateType,remainSeatCnt,routeId,stationId,stationSeq,querytime
0,0,경기76아4650,3,33,233000125,233000722,26,20221017-103001
0,0,경기76아1192,3,43,233000125,233000774,85,20221017-103001
0,0,경기76아4649,3,27,233000125,277103902,53,20221017-103001
0,0,경기76아1132,3,35,233000125,277103314,65,20221017-103001
0,0,경기76아1192,3,43,233000125,233000778,82,20221017-102801
0,0,경기76아4650,3,33,233000125,233002118,23,20221017-102801
0,0,경기76아4649,3,27,233000125,277103903,51,20221017-102801
0,0,경기76아1132,3,35,233000125,226000038,64,20221017-102801
0,0,경기76아4650,3,45,233000125,121001315,54,20221017-111303
0,0,경기76아1132,3,47,233000125,233002159,94,20221017-111303
0,0,경기76아4649,3,33,233000125,277103316,66,20221017-111303
0,0,경기76아4651,3,34,233000125,233000722,26,20221017-111303
0,0,경기76아1192,3,46,233000125,233002159,94,20221017-104201
0,0,경기76아4650,3,30,233000125,233000712,40,20221017-104201
0,0,경기76아4649,3,45,233000125,119900083,56,20221017-104201
0,0,경기76아1132,3,35,233000125,233000848,71,20221017-104201
0,0,경기76아4651,3,45,233000125,233002226,1,20221017-104201
0,0,경기76아4650,3,30,233000125,226000039,45,20221017-105501
0,0,경기76아4651,3,41,233000125,233000189,12,20221017-105501
0,0,경기76아4649,3,33,233000125,277102291,58,20221017-105501
0,0,경기76아1132,3,36,233000125,233000778,82,20221017-105501
0,0,경기76아1192,3,49,233000125,119900083,56,20221017-000302
0,0,경기76아4649,3,28,233000125,233003082,87,20221017-000302
0,0,경기76아1192,3,36,233000125,277103220,63,20221017-001502
0,0,경기76아4649,3,42,233000125,233001043,98,20221017-001502
0,0,경기76아1192,3,35,233000125,277103314,65,20221017-002002
0,0,경기76아4649,3,43,233000125,233002214,105,20221017-002002
0,0,경기76아4650,3,33,233000125,277103902,53,20221017-111002
0,0,경기76아1132,3,-1,233000125,233000768,92,20221017-111002
0,0,경기76아4651,3,34,233000125,233002118,23,20221017-111002
0,0,경기76아4649,3,33,233000125,277103314,65,20221017-111002
0,0,경기76아1192,3,36,233000125,277103201,61,20221017-001302
0,0,경기76아4649,3,42,233000125,233001828,95,20221017-001302
0,0,경기76아1192,3,36,233000125,277103220,63,20221017-001602
0,0,경기76아4649,3,42,233000125,233001043,98,20221017-001602
0,0,경기76아1192,3,46,233000125,233000848,71,20221017-101702
0,0,경기76아4650,3,39,233000125,233001318,15,20221017-101702
0,0,경기76아1132,3,36,233000125,277102291,58,20221017-101702
0,0,경기76아4649,3,27,233000125,226000039,45,20221017-101702
0,0,경기76아1192,3,43,233000125,233000770,90,20221017-103701
0,0,경기76아4650,3,31,233000125,233000842,31,20221017-103701
0,0,경기76아4649,3,45,233000125,119900083,56,20221017-103701
0,0,경기76아1132,3,35,233000125,277103519,68,20221017-103701
0,0,경기76아1192,3,35,233000125,277103314,65,20221017-002102
0,0,경기76아4649,3,43,233000125,233002214,105,20221017-002102
0,0,경기76아4650,3,30,233000125,277103317,43,20221017-105001
0,0,경기76아1192,3,46,233000125,233000207,102,20221017-105001
0,0,경기76아4651,3,43,233000125,233002295,6,20221017-105001
0,0,경기76아4649,3,33,233000125,119900083,56,20221017-105001
0,0,경기76아1132,3,35,233000125,233000780,80,20221017-105001
0,0,경기76아4650,3,30,233000125,120000671,52,20221017-110802
0,0,경기76아4651,3,35,233000125,233000726,21,20221017-110802
0,0,경기76아1132,3,39,233000125,233000768,92,20221017-110802
0,0,경기76아4649,3,33,233000125,226000038,64,20221017-110802
0,0,경기76아1192,3,36,233000125,277103204,59,20221017-000901
0,0,경기76아4649,3,32,233000125,233002159,94,20221017-000901
0,0,경기76아4650,3,45,233000125,277101688,55,20221017-111603
0,0,경기76아4649,3,33,233000125,277103527,67,20221017-111603
0,0,경기76아1132,3,46,233000125,233000208,97,20221017-111603
0,0,경기76아4651,3,33,233000125,233000720,28,20221017-111603
0,0,경기76아4650,3,31,233000125,233000721,27,20221017-103201
0,0,경기76아1192,3,-1,233000125,233003082,87,20221017-103201
0,0,경기76아1132,3,35,233000125,277103314,65,20221017-103201
0,0,경기76아4649,3,45,233000125,121001315,54,20221017-103201
0,0,경기76아1192,3,46,233000125,233001043,98,20221017-104801
0,0,경기76아4650,3,30,233000125,277103528,42,20221017-104801
0,0,경기76아4649,3,45,233000125,119900083,56,20221017-104801
0,0,경기76아4651,3,43,233000125,233002225,5,20221017-104801
0,0,경기76아1132,3,35,233000125,233000844,78,20221017-104801
0,0,경기76아1192,3,36,233000125,277102049,57,20221017-000402
0,0,경기76아4649,3,28,233000125,233003082,87,20221017-000402
0,0,경기76아4650,3,45,233000125,121001315,54,20221017-111402
0,0,경기76아4651,3,34,233000125,233000722,26,20221017-111402
0,0,경기76아4649,3,33,233000125,277103527,67,20221017-111402
0,0,경기76아1132,3,47,233000125,233001828,95,20221017-111402
0,0,경기76아4650,3,40,233000125,233001943,13,20221017-101301
0,0,경기76아1122,3,48,233000125,233002214,105,20221017-101301
0,0,경기76아1192,3,46,233000125,277103519,68,20221017-101301
0,0,경기76아4649,3,33,233000125,277103315,44,20221017-101301
0,0,경기76아1132,3,36,233000125,277103902,53,20221017-101301
0,0,경기76아4650,3,30,233000125,277103203,49,20221017-110302
0,0,경기76아4651,3,36,233000125,233000729,17,20221017-110302
0,0,경기76아4649,3,33,233000125,277103201,61,20221017-110302
0,0,경기76아1132,3,36,233000125,233000771,89,20221017-110302
0,0,경기76아4650,3,33,233000125,277103902,53,20221017-110901
0,0,경기76아1132,3,-1,233000125,233000768,92,20221017-110901
0,0,경기76아4649,3,33,233000125,226000038,64,20221017-110901
0,0,경기76아4651,3,34,233000125,233000726,21,20221017-110901
0,0,경기76아4650,3,30,233000125,277103200,48,20221017-110102
0,0,경기76아4649,3,33,233000125,277103202,60,20221017-110102
0,0,경기76아4651,3,38,233000125,233000730,16,20221017-110102
0,0,경기76아1132,3,36,233000125,233000772,88,20221017-110102
0,0,경기76아4650,3,45,233000125,119900083,56,20221017-112001
0,0,경기76아4651,3,33,233000125,233000842,31,20221017-112001
0,0,경기76아4649,3,34,233000125,233000781,69,20221017-112001
0,0,경기76아1132,3,47,233000125,233002216,103,20221017-112001
0,0,경기76아1192,3,36,233000125,277102291,58,20221017-000702
0,0,경기76아4649,3,31,233000125,233000769,91,20221017-000702
0,0,경기76아4650,3,30,233000125,277103221,46,20221017-105702
0,0,경기76아4649,3,33,233000125,277102291,58,20221017-105702
0,0,경기76아1132,3,36,233000125,233000774,85,20221017-105702
0,0,경기76아4651,3,41,233000125,233001943,13,20221017-105702
0,0,경기76아4652,3,37,233000125,233000724,24,20221017-115253
0,0,경기76아4650,3,38,233000125,233000849,70,20221017-115253
0,0,경기76아4651,3,35,233000125,277103205,50,20221017-115253
0,0,경기76아4649,3,40,233000125,233002130,99,20221017-115253
0,0,경기76아4650,3,39,233000125,233001318,15,20221017-101601
0,0,경기76아1192,3,46,233000125,233000781,69,20221017-101601
0,0,경기76아4649,3,33,233000125,226000039,45,20221017-101601
0,0,경기76아1132,3,36,233000125,277102291,58,20221017-101601
0,0,경기76아4650,3,33,233000125,233000726,21,20221017-102502
0,0,경기76아1192,3,43,233000125,233000779,81,20221017-102502
0,0,경기76아1132,3,36,233000125,277103158,62,20221017-102502
0,0,경기76아4649,3,27,233000125,277103203,49,20221017-102502
0,0,경기76아1192,3,46,233000125,233001828,95,20221017-104502
0,0,경기76아4650,3,30,233000125,233000712,40,20221017-104502
0,0,경기76아4649,3,45,233000125,119900083,56,20221017-104502
0,0,경기76아4651,3,45,233000125,233002221,3,20221017-104502
0,0,경기76아1132,3,35,233000125,233000055,74,20221017-104502
0,0,경기76아4650,3,30,233000125,233000712,40,20221017-104302
0,0,경기76아1192,3,46,233000125,233001828,95,20221017-104302
0,0,경기76아4649,3,45,233000125,119900083,56,20221017-104302
0,0,경기76아4651,3,45,233000125,277102459,2,20221017-104302
0,0,경기76아1132,3,35,233000125,233000847,72,20221017-104302
0,0,경기76아1192,3,36,233000125,277103158,62,20221017-001401
0,0,경기76아4649,3,41,233000125,233001435,96,20221017-001401
0,0,경기76아4650,3,45,233000125,119900083,56,20221017-111902
0,0,경기76아1132,3,47,233000125,233001042,100,20221017-111902
0,0,경기76아4651,3,33,233000125,233000718,30,20221017-111902
0,0,경기76아4649,3,33,233000125,233000781,69,20221017-111902
0,0,경기76아1192,3,36,233000125,277102049,57,20221017-000502
0,0,경기76아4649,3,28,233000125,233000772,88,20221017-000502
0,0,경기76아4650,3,30,233000125,226000039,45,20221017-105602
0,0,경기76아4651,3,41,233000125,233000189,12,20221017-105602
0,0,경기76아4649,3,33,233000125,277102291,58,20221017-105602
0,0,경기76아1132,3,36,233000125,233000777,83,20221017-105602
0,0,경기76아4650,3,35,233000125,233000729,17,20221017-102001
0,0,경기76아1192,3,46,233000125,233002150,77,20221017-102001
0,0,경기76아4649,3,27,233000125,277103221,46,20221017-102001
0,0,경기76아1132,3,36,233000125,277103202,60,20221017-102001
0,0,경기76아4650,3,30,233000125,277103205,50,20221017-110602
0,0,경기76아1132,3,36,233000125,233000770,90,20221017-110602
0,0,경기76아4649,3,33,233000125,277103220,63,20221017-110602
0,0,경기76아4651,3,35,233000125,233000727,20,20221017-110602
0,0,경기76아4650,3,33,233000125,233000726,21,20221017-102601
0,0,경기76아1192,3,43,233000125,233000779,81,20221017-102601
0,0,경기76아1132,3,36,233000125,277103220,63,20221017-102601
0,0,경기76아4649,3,27,233000125,277103205,50,20221017-102601
0,0,경기76아4650,3,43,233000125,233000190,11,20221017-101103
0,0,경기76아1192,3,-1,233000125,277103527,67,20221017-101103
0,0,경기76아1122,3,48,233000125,233002223,104,20221017-101103
0,0,경기76아1132,3,49,233000125,119900083,56,20221017-101103
0,0,경기76아4649,3,33,233000125,277103317,43,20221017-101103
0,0,경기76아4650,3,36,233000125,233000729,17,20221017-101902
0,0,경기76아1192,3,46,233000125,233000846,75,20221017-101902
0,0,경기76아1132,3,36,233000125,277103204,59,20221017-101902
